"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STATEICP","COUNTYICP","STRATA","GQ","RENT","UNITSSTR","PERNUM","PERWT","RACE","RACED","FTOTINC"
2005,200501,415376,4173,71.0,2005004153761,22,1050,290018,1,0,3,1,62.0,1,100,59080
2005,200501,415376,4173,71.0,2005004153761,22,1050,290018,1,0,3,2,74.0,1,100,59080
2005,200501,415434,7063,253.0,2005004154341,22,1050,290018,1,0,3,1,80.0,1,100,84600
2005,200501,415434,7063,253.0,2005004154341,22,1050,290018,1,0,3,2,267.0,6,600,84600
2005,200501,415434,7063,253.0,2005004154341,22,1050,290018,1,0,3,3,78.0,1,100,84600
2005,200501,415455,8046,49.0,2005004154551,22,1050,290018,1,590,7,1,52.0,1,100,35000
2005,200501,415676,16844,161.0,2005004156761,22,1050,290018,1,350,3,1,173.0,1,100,7500
2005,200501,415739,19254,81.0,2005004157391,22,1050,290018,1,0,3,1,86.0,1,100,16000
2005,200501,415755,19618,70.0,2005004157551,22,1050,290018,1,0,3,1,73.0,1,100,1700
2005,200501,415816,22520,58.0,2005004158161,22,1050,290018,1,0,4,1,61.0,1,100,35904
2005,200501,415842,23905,278.0,2005004158421,22,1050,290018,1,1100,10,1,294.0,1,100,2500
2005,200501,415842,23905,278.0,2005004158421,22,1050,290018,1,1100,10,2,395.0,1,100,0
2005,200501,415842,23905,278.0,2005004158421,22,1050,290018,1,1100,10,3,292.0,1,100,0
2005,200501,415842,23905,278.0,2005004158421,22,1050,290018,1,1100,10,4,294.0,1,100,0
2005,200501,415860,24654,57.0,2005004158601,22,1050,290018,1,0,3,1,61.0,1,100,26900
2005,200501,415860,24654,57.0,2005004158601,22,1050,290018,1,0,3,2,61.0,1,100,26900
2005,200501,415917,27025,77.0,2005004159171,22,1050,290018,1,0,4,1,69.0,1,100,298800
2005,200501,415917,27025,77.0,2005004159171,22,1050,290018,1,0,4,2,80.0,1,100,298800
2005,200501,415933,27799,50.0,2005004159331,22,1050,290018,1,0,3,1,55.0,1,100,144200
